steam_developer,avg_owners,avg_positive
"10 Chambers",1345200.0000,76.0000
"11 bit studios",582450.0000,70.0000
"24 Entertainment",5926740.0000,65.0000
"343 Industries",1022280.0000,58.0000
"343 Industries Splash Damage Ruffian Games Bungie Saber Interactive",6985260.0000,85.0000
"Acute Owl Studio",67020.0000,96.0000
"AdHoc Studio",4716480.0000,95.0000
"Aesir Interactive",534060.0000,73.0000
"Aesir Interactive NightinGames",25470.0000,80.0000
"Aether Studios",186870.0000,70.0000
"Affray Interactive",352350.0000,82.0000
"Afterthought LLC",2948130.0000,79.0000
"Aggro Crab",474090.0000,90.0000
"Airship Syndicate",728730.0000,71.0000
"Alexandre Declos Pas Game Studio",40140.0000,92.0000
"All Possible Futures",73710.0000,76.0000
"Alvios Games",35640.0000,90.0000
"Amistech Games",3087720.0000,93.0000
"Anegar Games",1534380.0000,84.0000
"Another Axiom Inc",1422150.0000,93.0000
AnukenDev,659640.0000,94.0000
"Anvil Game Studios",746310.0000,91.0000
"Arc System Works",1490085.0000,89.0000
"Arcen Games",48570.0000,87.0000
ArenaNet,47205.0000,86.0000
"Arrowhead Game Studios",24235830.0000,70.0000
"Arsi Hakita Patala",5685450.0000,95.0000
"Ashborne Games",126270.0000,82.0000
"Asobo Studio",1288830.0000,70.0000
AstralShift,59010.0000,90.0000
ATLUS,1096800.0000,95.0000
"AutoAttack Games",364950.0000,82.0000
"Avalanche Software",7960320.0000,86.0000
"Avalanche Studios",1875495.0000,79.5000
"Bad Guitar Studio",48690.0000,78.0000
"Ballistic Moon",91470.0000,88.0000
"Bandai Namco Studios Inc",1186665.0000,79.7500
"BANDAI NAMCO Studios Inc Dimps Corporation",285870.0000,91.0000
"Barbedwire Studios Digitalmindsoft",864570.0000,86.0000
"Battlefield Studios",4078635.0000,35.5000
"Battlestate Games",1266210.0000,49.0000
"Bay 12 Games",858150.0000,93.0000
"Beam Team Games",1285350.0000,79.0000
BeamNG,10595940.0000,96.0000
"Beat Games",2077890.0000,92.0000
"Behaviour Interactive Inc",19412280.0000,79.0000
"Bend Studio",2376540.0000,91.0000
"Berserk Games",1415310.0000,95.0000
"Bethesda Game Studios",3658330.0000,74.1667
"Bethesda Game Studios Virtuos",1709490.0000,58.0000
"BG Productions",420720.0000,76.0000
"Big Distraction",82770.0000,83.0000
BioWare,963636.0000,73.0000
Bippinbits,483240.0000,91.0000
"Bit Egg Inc",23160.0000,96.0000
"Black Forest Games",65040.0000,80.0000
"Black Forest Games Pandemic Studios",263040.0000,88.0000
"Black Salt Games",1312770.0000,98.0000
"Black Tabby Games",487470.0000,96.0000
"BlackFoot Studios MicroProse Software",619650.0000,79.0000
"Blacklight Interactive Team17",1446600.0000,87.0000
"Blep Games",24960.0000,92.0000
"Blizzard Entertainment Inc",533790.0000,74.3333
Blobfish,3134130.0000,94.0000
"Bloober Team",189000.0000,84.0000
"Bloober Team SA",1152630.0000,92.0000
"Blue Mammoth Games",86880.0000,59.0000
"Blue Scarab Entertainment",26070.0000,80.0000
"BlueTwelve Studio",4495980.0000,96.0000
"Bohemia Interactive",6461160.0000,85.3333
"Bolt Blaster Games",345060.0000,85.0000
"Boneloaf Rocket Science",1546230.0000,90.0000
"Booming Tech",122850.0000,67.0000
"Boundless Dynamics LLC",576090.0000,98.0000
"Brigada Games",279630.0000,84.0000
Briganti,74130.0000,91.0000
Brimstone,120750.0000,95.0000
Broadsword,13620.0000,85.0000
Bugbear,517980.0000,77.0000
Bungie,2370690.0000,72.0000
"by Sam Eng",61110.0000,98.0000
"Bye Bye Ocean",26220.0000,90.0000
Cakez,11820.0000,89.0000
"Callback ln404",153360.0000,85.0000
"Campfire Games",385950.0000,95.0000
"CampFire Studio",428430.0000,79.0000
"Camshaft Software Ltd",471810.0000,96.0000
Capcom,1584890.0000,84.0000
"CAPCOM Co Ltd",2728298.5714,85.2143
"Captain Games",12960.0000,97.0000
"CarX Technologies LLC",1457760.0000,84.0000
CayPlay,260070.0000,96.0000
"CD PROJEKT RED",24671025.0000,94.5000
"Channel37 Ltd",269520.0000,78.0000
"Chief Rebel",430710.0000,74.0000
"Christoffer Bodegrd",81210.0000,96.0000
"Chromatic Games",223545.0000,81.0000
"ChudoYudo Games",8550.0000,71.0000
"CI Games",997260.0000,76.0000
"Clever Endeavour Games",1189350.0000,95.0000
"Clock Wizard Games",548790.0000,81.0000
"Clockwork Laboratories Inc",85380.0000,73.0000
Codemasters,854760.0000,86.0000
CodePeas,17460.0000,92.0000
"Coffee Stain North",376500.0000,97.0000
"Coffee Stain Studios",6650100.0000,96.0000
"Coldwood Interactive",206070.0000,79.0000
"Color Gray Games",185700.0000,89.0000
"Colossal Order",6450360.0000,87.0000
ConcernedApe,25384500.0000,98.0000
CookieDev,134970.0000,85.0000
"Core Engage",74730.0000,74.0000
"Cosmographic Software",421050.0000,96.0000
countlessnights,17310.0000,89.0000
"Crate Entertainment",1657800.0000,89.0000
"Crayon Kit",13890.0000,99.0000
"Crazy Rocks",699180.0000,95.0000
"CREATIVE ASSEMBLY Feral Interactive",2327115.0000,86.5000
"CREATIVE ASSEMBLY Feral Interactive Linux Feral Interactive Mac",974970.0000,88.0000
"CREATIVE ASSEMBLY Feral Interactive Mac Feral Interactive Linux",2631210.0000,90.0000
"Creepy Jar",1216545.0000,80.0000
"Crimson Dusk",29910.0000,89.0000
"Crimson Forge Studios",6930.0000,85.0000
"Criterion Games",1032045.0000,67.5000
"Cryptic Studios",18465.0000,71.0000
"Crystal Dynamics PlayEveryWare",11040.0000,97.0000
Crytek,6181020.0000,76.0000
"Curve Animation",1416750.0000,81.0000
"CyberConnect2 Co Ltd",1291290.0000,94.0000
"CyberLight Game Studio",522210.0000,88.0000
"Cybernetic Walrus",52170.0000,86.0000
"Cygames Inc",1130940.0000,92.0000
"D5 Copperhead",55410.0000,88.0000
"Daedalic Entertainment",70470.0000,87.0000
"Dambuster Studios",536220.0000,76.0000
"Daniel Mullins Games",3898650.0000,94.0000
"Dark Machine Games",234990.0000,94.0000
"Darkflow Software",7590.0000,80.0000
"DarkStone Digital",208380.0000,79.0000
"DCELL GAMES",136020.0000,95.0000
"Deck Nine",284430.0000,90.5000
"Deck Nine Games",207960.0000,68.0000
"Deep Field Games",1124670.0000,91.0000
"Demon Max",121470.0000,88.0000
"Devin Santi",5460.0000,98.0000
DICE,4909440.0000,72.2000
"Digital Extremes",86400.0000,90.0000
"Digital Sun",57330.0000,82.0000
"Dimensional Ink Games",6450.0000,75.0000
"Dire Wolf",89625.0000,62.0000
Dogubomb,450600.0000,82.0000
"Donkey Crew",520110.0000,82.0000
"DONTNOD Entertainment Feral Interactive Mac Feral Interactive Linux",660540.0000,90.0000
"Door 407",294120.0000,87.0000
"Dotemu Guard Crush Games Supamonks",236310.0000,85.0000
"DoubleMoose Games",118830.0000,79.0000
"Dovetail Games",303375.0000,82.5000
"DRAGO entertainment",697740.0000,91.0000
"Dreamsite Games",313740.0000,50.0000
"Drive Beyond Horizons",461970.0000,71.0000
"Drydock Dreams Games",12900.0000,91.0000
"EA Canada EA Romania",1400730.0000,48.0000
"EA Redwood Shores",669000.0000,89.0000
"Eagle Dynamics SA",20820.0000,82.0000
"Edmund McMillen Tyler Glaiel",1084560.0000,91.0000
eduweb,321060.0000,95.0000
"Eek Games LLC",415320.0000,69.0000
Egosoft,696720.0000,77.0000
"Eko Software",28230.0000,88.0000
"Elder Game LLC",119430.0000,89.0000
"Electronic Arts  Tiburon",59940.0000,73.0000
Electrovore,198870.0000,77.0000
"Embark Studios",7924500.0000,79.0000
Embers,14820.0000,82.0000
Empyrean,2710530.0000,93.0000
"Endnight Games Ltd",12418740.0000,93.5000
"Eugen Systems",399720.0000,81.0000
"Evil Tortilla Games",761130.0000,80.0000
"Excellent Rectangle",95760.0000,89.0000
"EXOR Studios",610830.0000,88.0000
"Exordium Games",9840.0000,81.0000
"Expansive Worlds",4886550.0000,90.0000
"Expression Games",2889510.0000,77.0000
"Facepunch Studios",32579325.0000,90.5000
"FakeFish Undertow Games",1733760.0000,94.0000
"Fallen Tree Games Ltd",209880.0000,85.0000
"Fancy Games Blackbird Interactive",3319590.0000,89.0000
"Far From Home",222450.0000,62.0000
Fatshark,2876430.0000,75.5000
"Firaxis Games",847140.0000,67.0000
"Firaxis Games Aspyr Mac Aspyr Linux",5946930.0000,91.5000
"Firefly Studios",270270.0000,94.0000
"Fishing Planet LLC",16500.0000,86.0000
Flashbulb,849630.0000,90.0000
