name,steam_official_genres,genres_rank
"Funi Raccoon Game",Action,1
"Crab Champions",Action,2
"VTOL VR",Action,3
Portal,Action,4
"Crime Scene Cleaner",Action,5
"Slime Rancher",Action,6
"Skate Story",Action,7
"Portal 2",Action,8
"Resident Evil 2",Action,9
"Wobbly Life",Action,10
"Funi Raccoon Game",Adventure,1
"Sam  Max Beyond Time and Space",Adventure,2
"Crab Champions",Adventure,3
Subnautica,Adventure,4
"Skate Story",Adventure,5
"Berry Bury Berry",Adventure,6
"Portal 2",Adventure,7
"Slime Rancher",Adventure,8
"Look Outside",Adventure,9
"Scarlet Hollow",Adventure,10
"The Jackbox Party Pack 3",Casual,1
"Funi Raccoon Game",Casual,2
"Creature Kitchen",Casual,3
"Crab Champions",Casual,4
"Berry Bury Berry",Casual,5
"Scarlet Hollow",Casual,6
"People Playground",Casual,7
Factorio,Casual,8
"Goat Simulator 3",Casual,9
"Wobbly Life",Casual,10
"Crab Champions","Early Access",1
"Scarlet Hollow","Early Access",2
Aviassembly,"Early Access",3
"Slay the Spire 2","Early Access",4
"Fields of Mistria","Early Access",5
"Waterpark Simulator","Early Access",6
"From Glory To Goo","Early Access",7
"Automation  The Car Company Tycoon Game","Early Access",8
MineMogul,"Early Access",9
BeamNGdrive,"Early Access",10
Brotato,"Free To Play",1
"Team Fortress 2","Free To Play",2
"Tower Factory","Free To Play",3
"House Flipper","Free To Play",4
Warframe,"Free To Play",5
Emberward,"Free To Play",6
"Age of Empires III Definitive Edition","Free To Play",7
"Fishing Planet","Free To Play",8
"Roadside Research","Free To Play",9
"The Spell Brigade","Free To Play",10
"The Jackbox Party Pack 3",Indie,1
"Crab Champions",Indie,2
"Opus Magnum",Indie,3
"Sam  Max Beyond Time and Space",Indie,4
"Funi Raccoon Game",Indie,5
"Creature Kitchen",Indie,6
"Mr Sleepy Man",Indie,7
"Stardew Valley",Indie,8
"Berry Bury Berry",Indie,9
"Slime Rancher",Indie,10
"War of Rights","Massively Multiplayer",1
"House Flipper","Massively Multiplayer",2
"CarX Drift Racing Online","Massively Multiplayer",3
"Holdfast Nations At War","Massively Multiplayer",4
"Guild Wars Reforged","Massively Multiplayer",5
"DRAGON BALL XENOVERSE 2","Massively Multiplayer",6
"Project Gorgon","Massively Multiplayer",7
"Over The Top WWI","Massively Multiplayer",8
"V Rising","Massively Multiplayer",9
"Roadside Research","Massively Multiplayer",10
"Sleeping Dogs Definitive Edition",Racing,1
"Liftoff FPV Drone Racing",Racing,2
"Automation  The Car Company Tycoon Game",Racing,3
BeamNGdrive,Racing,4
"MX Bikes",Racing,5
"Assetto Corsa Competizione",Racing,6
"My Summer Car",Racing,7
"Car Mechanic Simulator 2021",Racing,8
"CarX Drift Racing Online",Racing,9
"Automobilista 2",Racing,10
"Scarlet Hollow",RPG,1
"FINAL FANTASY",RPG,2
"Look Outside",RPG,3
DREDGE,RPG,4
"Skate Story",RPG,5
"Stardew Valley",RPG,6
DELTARUNE,RPG,7
"BRAVELY DEFAULT FLYING FAIRY HD Remaster",RPG,8
"FINAL FANTASY II",RPG,9
"Fields of Mistria",RPG,10
"Opus Magnum",Simulation,1
"Creature Kitchen",Simulation,2
"Stardew Valley",Simulation,3
"Space Warlord Baby Trading Simulator",Simulation,4
"Crime Scene Cleaner",Simulation,5
"VTOL VR",Simulation,6
"Slime Rancher",Simulation,7
Factorio,Simulation,8
"Garrys Mod",Simulation,9
"Goat Simulator 3",Simulation,10
"Skate Story",Sports,1
"Liftoff FPV Drone Racing",Sports,2
"Super Battle Golf",Sports,3
"MX Bikes",Sports,4
"Cast n Chill",Sports,5
Cairn,Sports,6
"Assetto Corsa Competizione",Sports,7
"Automobilista 2",Sports,8
Shredders,Sports,9
"CarX Drift Racing Online",Sports,10
"STAR WARS Empire at War  Gold Pack",Strategy,1
"The Jackbox Party Pack 3",Strategy,2
"Kingdom Rush Origins  Tower Defense",Strategy,3
RimWorld,Strategy,4
"Slay the Spire 2",Strategy,5
"Cult of the Lamb",Strategy,6
Factorio,Strategy,7
"Plants vs Zombies GOTY Edition",Strategy,8
MineMogul,Strategy,9
"Totally Accurate Battle Simulator",Strategy,10
