name,review_score_pct,steam_official_genres
"The Jackbox Party Pack 3",100,Casual
"The Jackbox Party Pack 3",100,Indie
"The Jackbox Party Pack 3",100,Strategy
"STAR WARS Empire at War  Gold Pack",100,Strategy
"Funi Raccoon Game",99,Action
"Funi Raccoon Game",99,Adventure
"Funi Raccoon Game",99,Casual
"Funi Raccoon Game",99,Indie
"Creature Kitchen",99,Casual
"Creature Kitchen",99,Indie
"Creature Kitchen",99,Simulation
"Crab Champions",99,Action
"Crab Champions",99,Adventure
"Crab Champions",99,Casual
"Crab Champions",99,Indie
"Crab Champions",99,"Early Access"
"Sam  Max Beyond Time and Space",99,Adventure
"Sam  Max Beyond Time and Space",99,Indie
"Opus Magnum",99,Indie
"Opus Magnum",99,Simulation
"Stardew Valley",98,Indie
"Stardew Valley",98,RPG
"Stardew Valley",98,Simulation
DREDGE,98,Adventure
DREDGE,98,RPG
Subnautica,98,Adventure
Subnautica,98,Indie
"FINAL FANTASY",98,RPG
"Berry Bury Berry",98,Adventure
"Berry Bury Berry",98,Casual
"Berry Bury Berry",98,Indie
"Portal 2",98,Action
"Portal 2",98,Adventure
"Crime Scene Cleaner",98,Action
"Crime Scene Cleaner",98,Simulation
"VTOL VR",98,Action
"VTOL VR",98,Indie
"VTOL VR",98,Simulation
"Mr Sleepy Man",98,Adventure
"Mr Sleepy Man",98,Indie
"Skate Story",98,Action
"Skate Story",98,Adventure
"Skate Story",98,Indie
"Skate Story",98,RPG
"Skate Story",98,Sports
"Slime Rancher",98,Action
"Slime Rancher",98,Adventure
"Slime Rancher",98,Indie
"Slime Rancher",98,Simulation
"Space Warlord Baby Trading Simulator",98,Simulation
Portal,98,Action
"Look Outside",98,Adventure
"Look Outside",98,RPG
"Scarlet Hollow",98,Adventure
"Scarlet Hollow",98,Casual
"Scarlet Hollow",98,Indie
"Scarlet Hollow",98,RPG
"Scarlet Hollow",98,"Early Access"
"Slay the Spire 2",97,Indie
"Slay the Spire 2",97,Strategy
"Slay the Spire 2",97,"Early Access"
"BRAVELY DEFAULT FLYING FAIRY HD Remaster",97,RPG
"Resident Evil 2",97,Action
RimWorld,97,Indie
RimWorld,97,Simulation
RimWorld,97,Strategy
Factorio,97,Casual
Factorio,97,Indie
Factorio,97,Simulation
Factorio,97,Strategy
"Cult of the Lamb",97,Action
"Cult of the Lamb",97,Adventure
"Cult of the Lamb",97,Indie
"Cult of the Lamb",97,Strategy
"Garrys Mod",97,Casual
"Garrys Mod",97,Indie
"Garrys Mod",97,Simulation
"Left 4 Dead 2",97,Action
DELTARUNE,97,Indie
DELTARUNE,97,RPG
"Horsey Game",97,Indie
"Horsey Game",97,Simulation
"Sleeping Dogs Definitive Edition",97,Action
"Sleeping Dogs Definitive Edition",97,Adventure
"Sleeping Dogs Definitive Edition",97,Racing
"Fields of Mistria",97,Indie
"Fields of Mistria",97,RPG
"Fields of Mistria",97,Simulation
"Fields of Mistria",97,"Early Access"
"Goat Simulator 3",97,Adventure
"Goat Simulator 3",97,Casual
"Goat Simulator 3",97,Simulation
"FINAL FANTASY II",97,RPG
"Kerbal Space Program",97,Indie
"Kerbal Space Program",97,Simulation
"Wobbly Life",97,Action
"Wobbly Life",97,Adventure
"Wobbly Life",97,Casual
"Wobbly Life",97,Indie
"Wobbly Life",97,Simulation
"Keep Talking and Nobody Explodes",97,Indie
"People Playground",97,Action
"People Playground",97,Casual
"People Playground",97,Indie
"People Playground",97,Simulation
"Sam  Max Save the World",97,Adventure
"Sam  Max Save the World",97,Indie
Celeste,97,Action
Celeste,97,Adventure
Celeste,97,Indie
"Detroit Become Human",97,Action
"Detroit Become Human",97,Adventure
"Legacy of Kain Defiance Remastered",97,Action
"Legacy of Kain Defiance Remastered",97,Adventure
"Plants vs Zombies GOTY Edition",97,Strategy
"Kingdom Rush Origins  Tower Defense",97,Indie
"Kingdom Rush Origins  Tower Defense",97,Strategy
Aviassembly,97,Simulation
Aviassembly,97,"Early Access"
"Resident Evil Requiem",96,Action
"Resident Evil Requiem",96,Adventure
"Schedule I",96,Action
"Schedule I",96,Indie
"Schedule I",96,Simulation
"Schedule I",96,Strategy
"Schedule I",96,"Early Access"
Timberborn,96,Indie
Timberborn,96,Simulation
Timberborn,96,Strategy
Satisfactory,96,Adventure
Satisfactory,96,Indie
Satisfactory,96,Simulation
Satisfactory,96,Strategy
"Esoteric Ebb",96,Indie
"Esoteric Ebb",96,RPG
"Bloons TD 6",96,Strategy
BeamNGdrive,96,Racing
BeamNGdrive,96,Simulation
BeamNGdrive,96,"Early Access"
Terraria,96,Action
Terraria,96,Adventure
Terraria,96,Indie
Terraria,96,RPG
"The Planet Crafter",96,Adventure
"WorldBox  God Simulator",96,Indie
"WorldBox  God Simulator",96,Simulation
"WorldBox  God Simulator",96,"Early Access"
"It Takes Two",96,Action
"It Takes Two",96,Adventure
Balatro,96,Casual
Balatro,96,Indie
Balatro,96,Strategy
"Titanfall 2",96,Action
"Dungeon Defenders",96,Action
"Dungeon Defenders",96,Indie
"Dungeon Defenders",96,RPG
"Dungeon Defenders",96,Strategy
"Is This Seat Taken",96,Casual
"Is This Seat Taken",96,Indie
"FINAL FANTASY IX",96,RPG
"Totally Accurate Battle Simulator",96,Indie
"Totally Accurate Battle Simulator",96,Simulation
"Totally Accurate Battle Simulator",96,Strategy
Cuphead,96,Action
Cuphead,96,Indie
"STAR OCEAN THE SECOND STORY R",96,Action
"STAR OCEAN THE SECOND STORY R",96,RPG
"Lost and Found Co",96,Casual
"Lost and Found Co",96,Indie
"Relic Guardian  Tower Defense",96,Adventure
"Relic Guardian  Tower Defense",96,Casual
"Relic Guardian  Tower Defense",96,Indie
"Relic Guardian  Tower Defense",96,RPG
"Relic Guardian  Tower Defense",96,Strategy
"Hollow Knight",96,Action
"Hollow Knight",96,Adventure
"Hollow Knight",96,Indie
"Placid Plastic Duck Simulator",96,Casual
"Placid Plastic Duck Simulator",96,Simulation
"Marvels SpiderMan Remastered",96,Action
"Marvels SpiderMan Remastered",96,Adventure
"Marvels SpiderMan Remastered",96,Casual
