app_id,name,release_date,price_usd,discount_pct,is_discounted,is_free,review_score_pct,total_reviews,estimated_owners,peak_24h_players,steam_official_genres,steam_tags,steam_store_features,steam_developer,steam_publisher,steam_supported_os,steam_interface_languages,steam_subtitle_languages,steam_audio_languages,steam_minimum_ram_gb,steam_minimum_storage_gb,steam_metacritic_score,steam_dlc_count,steam_age_rating_system,steam_age_rating_value
730,Counter-Strike 2,2012-08-21,0.0,0,0,1,83,4980365,149410950,1013936,"[""Action"", ""Free To Play""]","[""FPS"", ""Shooter"", ""Multiplayer"", ""Competitive"", ""Action"", ""Team-Based"", ""eSports"", ""Tactical"", ""First-Person"", ""PvP"", ""Online Co-Op"", ""Co-op"", ""Strategy"", ""Military"", ""War"", ""Trading"", ""Difficult"", ""Realistic"", ""Fast-Paced"", ""Moddable""]","[""Multi-player"", ""Cross-Platform Multiplayer"", ""Steam Trading Cards"", ""Steam Workshop"", ""In-App Purchases"", ""Valve Anti-Cheat enabled"", ""Stats"", ""Remote Play on Phone"", ""Remote Play on Tablet"", ""Remote Play on TV"", ""Steam Timeline""]","[""Valve""]","[""Valve""]","[""Windows"", ""Linux""]","[""English"", ""Czech"", ""Danish"", ""Dutch"", ""Finnish"", ""French"", ""German"", ""Hungarian"", ""Italian"", ""Japanese"", ""Korean"", ""Norwegian"", ""Polish"", ""Portuguese - Portugal"", ""Portuguese - Brazil"", ""Romanian"", ""Russian"", ""Simplified Chinese"", ""Spanish - Spain"", ""Swedish"", ""Thai"", ""Traditional Chinese"", ""Turkish"", ""Bulgarian"", ""Ukrainian"", ""Greek"", ""Spanish - Latin America"", ""Vietnamese"", ""Indonesian""]",[],"[""English""]",8.0,85.0,,1.0,USK,16
2868840,Slay the Spire 2,2026-03-05,24.99,0,0,0,97,49549,1486470,0,"[""Indie"", ""Strategy"", ""Early Access""]","[""Roguelike"", ""Card Game"", ""Deckbuilding"", ""Co-op"", ""Strategy"", ""Roguelike Deckbuilder"", ""Multiplayer"", ""Political"", ""Turn-Based Combat"", ""Card Battler"", ""Indie"", ""Difficult"", ""Roguelite"", ""Early Access"", ""2D"", ""Singleplayer"", ""Replay Value"", ""Dungeon Crawler"", ""Fantasy"", ""Procedural Generation""]","[""Single-player"", ""Multi-player"", ""Co-op"", ""Online Co-op"", ""Full controller support"", ""DualSense Controller Support"", ""Steam Input API Support"", ""Steam Cloud"", ""Stats"", ""Steam Leaderboards"", ""Family Sharing""]","[""Mega Crit""]","[""Mega Crit""]","[""Windows"", ""Mac"", ""Linux""]","[""English"", ""French"", ""Italian"", ""German"", ""Spanish - Spain"", ""Japanese"", ""Korean"", ""Polish"", ""Portuguese - Brazil"", ""Russian"", ""Simplified Chinese"", ""Spanish - Latin America"", ""Thai"", ""Turkish""]",[],[],4.0,4.0,,0.0,DEJUS,10
3321460,Crimson Desert,2026-03-19,69.99,0,0,0,0,0,0,0,"[""Action"", ""Adventure""]","[""Open World"", ""Action"", ""Singleplayer"", ""Exploration"", ""Adventure"", ""Combat"", ""Fantasy"", ""Medieval"", ""Action-Adventure"", ""RPG"", ""Dragons"", ""Third Person"", ""Choose Your Own Adventure"", ""Story Rich"", ""Horses"", ""PvE"", ""3D"", ""Artificial Intelligence"", ""Gore"", ""Souls-like""]","[""Single-player"", ""Steam Achievements"", ""Full controller support"", ""DualSense Controller Support"", ""Steam Cloud"", ""HDR available"", ""Family Sharing""]","[""Pearl Abyss""]","[""Pearl Abyss""]","[""Windows"", ""Mac""]","[""English"", ""French"", ""Italian"", ""German"", ""Spanish - Spain"", ""Japanese"", ""Korean"", ""Polish"", ""Russian"", ""Simplified Chinese"", ""Spanish - Latin America"", ""Traditional Chinese"", ""Portuguese - Brazil"", ""Turkish""]","[""English"", ""French"", ""Italian"", ""German"", ""Spanish - Spain"", ""Japanese"", ""Korean"", ""Polish"", ""Russian"", ""Simplified Chinese"", ""Spanish - Latin America"", ""Traditional Chinese"", ""Portuguese - Brazil"", ""Turkish""]","[""English"", ""Korean"", ""Simplified Chinese""]",16.0,150.0,,2.0,PEGI,18
3065800,Marathon,2026-03-05,39.99,0,0,0,90,24360,730800,0,"[""Action""]","[""Extraction Shooter"", ""PvP"", ""Multiplayer"", ""Sci-fi"", ""Shooter"", ""FPS"", ""Futuristic"", ""First-Person"", ""Action"", ""PvE"", ""Cyberpunk"", ""Gun Customization"", ""Class-Based"", ""Online Co-Op"", ""Inventory Management"", ""Survival"", ""Psychological Horror"", ""Character Customization"", ""Hero Shooter"", ""LGBTQ+""]","[""Multi-player"", ""PvP"", ""Online PvP"", ""Cross-Platform Multiplayer"", ""Steam Achievements"", ""DualShock Controller Support"", ""DualSense Controller Support"", ""Partial Controller Support"", ""Family Sharing""]","[""Bungie""]","[""Bungie""]","[""Windows""]","[""English"", ""French"", ""Italian"", ""German"", ""Spanish - Spain"", ""Japanese"", ""Korean"", ""Polish"", ""Portuguese - Brazil"", ""Russian"", ""Simplified Chinese"", ""Spanish - Latin America"", ""Traditional Chinese""]","[""English"", ""French"", ""Italian"", ""German"", ""Spanish - Spain"", ""Japanese"", ""Korean"", ""Polish"", ""Portuguese - Brazil"", ""Russian"", ""Simplified Chinese"", ""Spanish - Latin America"", ""Traditional Chinese""]","[""English"", ""French"", ""Italian"", ""German"", ""Spanish - Spain"", ""Japanese"", ""Korean"", ""Polish"", ""Portuguese - Brazil"", ""Russian"", ""Simplified Chinese"", ""Spanish - Latin America""]",8.0,,,3.0,ESRB,Teen
3764200,Resident Evil Requiem,2026-02-26,69.99,0,0,0,96,79667,2390010,0,"[""Action"", ""Adventure""]","[""Survival Horror"", ""Zombies"", ""Horror"", ""Third-Person Shooter"", ""Action"", ""FPS"", ""First-Person"", ""Action-Adventure"", ""Singleplayer"", ""Cinematic"", ""Realistic"", ""3D"", ""Dark"", ""Story Rich"", ""Female Protagonist"", ""Post-apocalyptic"", ""Violent"", ""Inventory Management"", ""Modern"", ""Gore""]","[""Single-player"", ""Steam Achievements"", ""Full controller support"", ""Steam Trading Cards"", ""DualShock Controller Support"", ""DualSense Controller Support"", ""Steam Cloud"", ""HDR available"", ""Family Sharing""]","[""CAPCOM Co., Ltd.""]","[""CAPCOM Co., Ltd.""]","[""Windows""]","[""English"", ""French"", ""Italian"", ""German"", ""Spanish - Spain"", ""Arabic"", ""Spanish - Latin America"", ""Portuguese - Brazil"", ""Polish"", ""Russian"", ""Simplified Chinese"", ""Traditional Chinese"", ""Japanese"", ""Korean""]","[""English"", ""French"", ""Italian"", ""German"", ""Spanish - Spain"", ""Arabic"", ""Spanish - Latin America"", ""Portuguese - Brazil"", ""Polish"", ""Russian"", ""Simplified Chinese"", ""Traditional Chinese"", ""Japanese"", ""Korean""]","[""English"", ""French"", ""Italian"", ""German"", ""Spanish - Spain"", ""Spanish - Latin America"", ""Portuguese - Brazil"", ""Russian"", ""Simplified Chinese"", ""Japanese""]",16.0,,92.0,3.0,ESRB,Mature 17+
2157830,John Carpenter's Toxic Commando,2026-03-12,39.99,0,0,0,83,2765,82950,0,"[""Action"", ""Adventure""]","[""Zombies"", ""Online Co-Op"", ""Shooter"", ""FPS"", ""PvE"", ""Action"", ""Adventure"", ""Looter Shooter"", ""Action-Adventure"", ""First-Person"", ""1980s"", ""Horror"", ""Sci-fi"", ""Supernatural"", ""Funny"", ""Co-op"", ""Vehicular Combat"", ""Team-Based"", ""Character Customization"", ""Multiplayer""]","[""Single-player"", ""Multi-player"", ""Co-op"", ""Online Co-op"", ""Cross-Platform Multiplayer"", ""Steam Achievements"", ""Full controller support"", ""Steam Trading Cards"", ""DualShock Controller Support"", ""DualSense Controller Support"", ""Family Sharing""]","[""Saber Interactive""]","[""Focus Entertainment""]","[""Windows""]","[""English"", ""French"", ""Italian"", ""German"", ""Spanish - Spain"", ""Russian"", ""Simplified Chinese"", ""Traditional Chinese"", ""Czech"", ""Japanese"", ""Korean"", ""Polish"", ""Portuguese - Brazil"", ""Thai"", ""Turkish"", ""Ukrainian""]","[""English"", ""French"", ""Italian"", ""German"", ""Spanish - Spain"", ""Russian"", ""Simplified Chinese"", ""Traditional Chinese"", ""Czech"", ""Japanese"", ""Korean"", ""Polish"", ""Portuguese - Brazil"", ""Thai"", ""Turkish"", ""Ukrainian""]","[""English""]",16.0,58.0,,5.0,ESRB,Mature 17+
1144200,Ready or Not,2023-12-13,49.99,0,0,0,85,243810,7314300,4296,"[""Action"", ""Adventure"", ""Indie""]","[""Tactical"", ""Realistic"", ""FPS"", ""Shooter"", ""Multiplayer"", ""Singleplayer"", ""Co-op"", ""Horror"", ""First-Person"", ""Action"", ""Psychological Horror"", ""Violent"", ""Gun Customization"", ""Combat"", ""Crime"", ""Gore"", ""Modern"", ""Atmospheric"", ""Co-op Campaign"", ""VR""]","[""Single-player"", ""Multi-player"", ""Co-op"", ""Online Co-op"", ""Steam Achievements"", ""Full controller support"", ""DualShock Controller Support"", ""DualSense Controller Support"", ""Steam Cloud""]","[""VOID Interactive""]","[""VOID Interactive""]","[""Windows""]","[""English"", ""French"", ""German"", ""Korean"", ""Simplified Chinese"", ""Italian"", ""Spanish - Spain"", ""Japanese"", ""Polish"", ""Portuguese - Portugal"", ""Turkish"", ""Russian""]","[""English"", ""French"", ""German"", ""Korean"", ""Simplified Chinese"", ""Italian"", ""Spanish - Spain"", ""Japanese"", ""Polish"", ""Portuguese - Portugal"", ""Turkish"", ""Russian""]","[""English""]",8.0,60.0,,4.0,DEJUS,18
1172470,Apex Legends™,2020-11-04,0.0,0,0,1,65,1577,47310,124262,"[""Action"", ""Adventure"", ""Free To Play""]","[""Free to Play"", ""Battle Royale"", ""Multiplayer"", ""FPS"", ""Shooter"", ""First-Person"", ""PvP"", ""Action"", ""Hero Shooter"", ""Team-Based"", ""Tactical"", ""Sci-fi"", ""Loot"", ""Co-op"", ""Survival"", ""Character Customization"", ""Funny"", ""Cyberpunk"", ""Lore-Rich"", ""Cinematic""]","[""Multi-player"", ""PvP"", ""Online PvP"", ""Co-op"", ""Online Co-op"", ""Steam Achievements"", ""Full controller support"", ""Steam Trading Cards"", ""In-App Purchases"", ""Chat Speech-to-text"", ""DualShock Controller Support"", ""DualSense Controller Support""]","[""Respawn""]","[""Electronic Arts""]","[""Windows""]","[""English"", ""French"", ""Italian"", ""German"", ""Spanish - Spain"", ""Japanese"", ""Korean"", ""Polish"", ""Portuguese - Brazil"", ""Russian"", ""Simplified Chinese"", ""Traditional Chinese"", ""Spanish - Latin America"", ""Arabic""]",[],"[""English"", ""French"", ""Italian"", ""German"", ""Spanish - Spain"", ""Japanese"", ""Korean"", ""Polish"", ""Russian"", ""Simplified Chinese""]",6.0,75.0,88.0,0.0,ESRB,Teen
1808500,ARC Raiders,2025-10-30,39.99,0,0,0,79,264150,7924500,0,"[""Action""]","[""Extraction Shooter"", ""Multiplayer"", ""PvE"", ""PvP"", ""Third-Person Shooter"", ""Post-apocalyptic"", ""Shooter"", ""Online Co-Op"", ""Survival"", ""Sci-fi"", ""Third Person"", ""Atmospheric"", ""Crafting"", ""Inventory Management"", ""Action"", ""Open World"", ""Combat"", ""Futuristic"", ""Character Customization"", ""Realistic""]","[""Multi-player"", ""PvP"", ""Online PvP"", ""Co-op"", ""Online Co-op"", ""Cross-Platform Multiplayer"", ""Steam Achievements"", ""Full controller support"", ""In-App Purchases"", ""DualShock Controller Support"", ""DualSense Controller Support"", ""Stats"", ""Family Sharing""]","[""Embark Studios""]","[""Embark Studios""]","[""Windows""]","[""English"", ""French"", ""Italian"", ""German"", ""Spanish - Spain"", ""Japanese"", ""Korean"", ""Polish"", ""Portuguese - Brazil"", ""Russian"", ""Simplified Chinese"", ""Traditional Chinese"", ""Turkish""]","[""English"", ""French"", ""Italian"", ""German"", ""Spanish - Spain"", ""Japanese"", ""Korean"", ""Polish"", ""Portuguese - Brazil"", ""Russian"", ""Simplified Chinese"", ""Traditional Chinese"", ""Turkish""]","[""English""]",12.0,,,4.0,DEJUS,14
2852190,Monster Hunter Stories 3: Twisted Reflection,2026-03-12,69.99,0,0,0,75,1570,47100,0,"[""Adventure"", ""RPG""]","[""RPG"", ""Creature Collector"", ""JRPG"", ""Turn-Based Combat"", ""Exploration"", ""Cartoony"", ""Adventure"", ""Dragons"", ""Character Customization"", ""Singleplayer"", ""Anime"", ""Turn-Based"", ""Open World"", ""Story Rich"", ""Fantasy"", ""Multiplayer"", ""Third Person"", ""Cute"", ""Female Protagonist"", ""Nudity""]","[""Single-player"", ""Steam Achievements"", ""Full controller support"", ""Steam Trading Cards"", ""Steam Input API Support"", ""Steam Cloud"", ""Family Sharing""]","[""CAPCOM Co., Ltd.""]","[""CAPCOM Co., Ltd.""]","[""Windows""]","[""English"", ""French"", ""Italian"", ""German"", ""Spanish - Spain"", ""Arabic"", ""Japanese"", ""Korean"", ""Polish"", ""Portuguese - Brazil"", ""Russian"", ""Simplified Chinese"", ""Spanish - Latin America"", ""Traditional Chinese""]","[""English"", ""French"", ""Italian"", ""German"", ""Spanish - Spain"", ""Arabic"", ""Japanese"", ""Korean"", ""Polish"", ""Portuguese - Brazil"", ""Russian"", ""Simplified Chinese"", ""Spanish - Latin America"", ""Traditional Chinese""]","[""English"", ""Japanese""]",16.0,50.0,87.0,27.0,ESRB,Teen
