steam_official_genres,total_owners,avg_owners,avg_positive
Action,1388608890,2760653.8569,82.3141
Adventure,817216260,2190928.3110,83.5282
Indie,695782950,2089438.2883,87.1201
RPG,597676890,2157678.3032,81.1877
Simulation,425611110,1514630.2847,84.6833
Strategy,272506170,1449500.9043,83.4787
"Free To Play",266590830,5126746.7308,69.5962
"Massively Multiplayer",186719040,2917485.0000,71.7969
Casual,169345560,1282920.9091,86.6970
"Early Access",137200080,1193044.1739,82.8696
Racing,51681870,1292046.7500,81.9250
Sports,38629380,919747.1429,78.3810
