epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.4288,0.77095,2.79582,0.98611,0,0,0,0,0,0,0,0.000330808,0.000330808,0.000330808
2,54.5956,0.6918,1.49694,0.92466,0,0,0,0,0,0,0,0.000598391,0.000598391,0.000598391
3,72.5011,0.67426,1.0973,0.91164,0,0,0,0,0,0,0,0.000799975,0.000799975,0.000799975
4,90.6494,0.63599,0.84503,0.88879,0,0,0,0,0,0,0,0.000703,0.000703,0.000703
5,108.521,0.60281,0.66867,0.87955,0,0,0,0,0,0,0,0.000604,0.000604,0.000604
6,126.276,0.55765,0.54545,0.86258,0,0,0,0,0,0,0,0.000505,0.000505,0.000505
7,144.284,0.53145,0.47332,0.85395,0,0,0,0,0,0,0,0.000406,0.000406,0.000406
8,162.435,0.50657,0.4217,0.84153,0,0,0,0,0,0,0,0.000307,0.000307,0.000307
9,180.465,0.46957,0.37477,0.8386,0,0,0,0,0,0,0,0.000208,0.000208,0.000208
10,213.425,0.45229,0.34837,0.82906,0.99556,1,0.9946,0.90996,0.40522,0.25534,0.80819,0.000109,0.000109,0.000109
